island,year,island_id,region_code,region,prefecture_code,pref,population,dummy_has_bridge,dummy_connect_mainland_by_bridge,bridge_opened_year,dummy_after_bridge_build,connect_mainland_year,dummy_after_connect_mainland,income
島後,2001,0,,隠岐の島町,32,島根県,17930,0,0,0,0,0,0,
島後,2002,0,,隠岐の島町,32,島根県,17865,0,0,0,0,0,0,
島後,2003,0,,隠岐の島町,32,島根県,17704,0,0,0,0,0,0,
島後,2004,0,,隠岐の島町,32,島根県,17535,0,0,0,0,0,0,
島後,2005,0,32528,隠岐の島町,32,島根県,17259,0,0,0,0,0,0,19083931
島後,2006,0,32528,隠岐の島町,32,島根県,17016,0,0,0,0,0,0,18912797
島後,2007,0,32528,隠岐の島町,32,島根県,16779,0,0,0,0,0,0,17833873
島後,2008,0,32528,隠岐の島町,32,島根県,16417,0,0,0,0,0,0,17127603
島後,2009,0,32528,隠岐の島町,32,島根県,16099,0,0,0,0,0,0,16606138
島後,2010,0,32528,隠岐の島町,32,島根県,15930,0,0,0,0,0,0,16082881
島後,2011,0,32528,隠岐の島町,32,島根県,15738,0,0,0,0,0,0,15626219
島後,2012,0,32528,隠岐の島町,32,島根県,15440,0,0,0,0,0,0,15744973
島後,2013,0,32528,隠岐の島町,32,島根県,15296,0,0,0,0,0,0,15761500
島後,2014,0,32528,隠岐の島町,32,島根県,15038,0,0,0,0,0,0,15819270
島後,2015,0,32528,隠岐の島町,32,島根県,14901,0,0,0,0,0,0,16135317
島後,2016,0,32528,隠岐の島町,32,島根県,14654,0,0,0,0,0,0,16341291
島後,2017,0,32528,隠岐の島町,32,島根県,14550,0,0,0,0,0,0,16476536
島後,2018,0,32528,隠岐の島町,32,島根県,14337,0,0,0,0,0,0,17169064
島後,2019,0,32528,隠岐の島町,32,島根県,14116,0,0,0,0,0,0,17023558
島後,2020,0,32528,隠岐の島町,32,島根県,13882,0,0,0,0,0,0,17473739
中ノ島,1985,1,32525,海士町,32,島根県,3339,0,0,0,0,0,0,2645758
中ノ島,1986,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2688706
中ノ島,1987,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2469768
中ノ島,1988,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2557864
中ノ島,1989,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2580699
中ノ島,1990,1,32525,海士町,32,島根県,3119,0,0,0,0,0,0,2644069
中ノ島,1991,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2588976
中ノ島,1992,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2468690
中ノ島,1993,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2425291
中ノ島,1994,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2380111
中ノ島,1995,1,32525,海士町,32,島根県,2857,0,0,0,0,0,0,2443874
中ノ島,1996,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2381067
中ノ島,1997,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2336882
中ノ島,1998,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2273781
中ノ島,1999,1,32525,海士町,32,島根県,,0,0,0,0,0,0,2377803
中ノ島,2000,1,32525,海士町,32,島根県,2672,0,0,0,0,0,0,2454620
中ノ島,2001,1,32525,海士町,32,島根県,2675,0,0,0,0,0,0,2609567
中ノ島,2002,1,32525,海士町,32,島根県,2631,0,0,0,0,0,0,2573339
中ノ島,2003,1,32525,海士町,32,島根県,2581,0,0,0,0,0,0,2712239
中ノ島,2004,1,32525,海士町,32,島根県,2514,0,0,0,0,0,0,2773110
中ノ島,2005,1,32525,海士町,32,島根県,2406,0,0,0,0,0,0,2909962
中ノ島,2006,1,32525,海士町,32,島根県,2492,0,0,0,0,0,0,3103358
中ノ島,2007,1,32525,海士町,32,島根県,2425,0,0,0,0,0,0,3313311
中ノ島,2008,1,32525,海士町,32,島根県,2403,0,0,0,0,0,0,3203792
中ノ島,2009,1,32525,海士町,32,島根県,2370,0,0,0,0,0,0,3245197
中ノ島,2010,1,32525,海士町,32,島根県,2378,0,0,0,0,0,0,3134063
中ノ島,2011,1,32525,海士町,32,島根県,2321,0,0,0,0,0,0,3063511
中ノ島,2012,1,32525,海士町,32,島根県,2288,0,0,0,0,0,0,3047738
中ノ島,2013,1,32525,海士町,32,島根県,2297,0,0,0,0,0,0,2838703
中ノ島,2014,1,32525,海士町,32,島根県,2339,0,0,0,0,0,0,2707823
中ノ島,2015,1,32525,海士町,32,島根県,2304,0,0,0,0,0,0,2514640
中ノ島,2016,1,32525,海士町,32,島根県,2298,0,0,0,0,0,0,2385039
中ノ島,2017,1,32525,海士町,32,島根県,2225,0,0,0,0,0,0,2273096
中ノ島,2018,1,32525,海士町,32,島根県,2236,0,0,0,0,0,0,2243185
中ノ島,2019,1,32525,海士町,32,島根県,2222,0,0,0,0,0,0,2224649
中ノ島,2020,1,32525,海士町,32,島根県,2184,0,0,0,0,0,0,2199153
西ノ島,1985,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3396560
西ノ島,1986,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3525472
西ノ島,1987,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3423301
西ノ島,1988,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3439335
西ノ島,1989,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3481604
西ノ島,1990,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3442618
西ノ島,1991,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3370002
西ノ島,1992,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3353089
西ノ島,1993,2,32526,西ノ島町,32,島根県,,0,0,0,0,0,0,3340552
