year,region_code,region,taxable_income
2009,33100,岡山県 岡山市,1001167735
2010,33100,岡山県 岡山市,931926719
2011,33100,岡山県 岡山市,930129439
2012,33100,岡山県 岡山市,937672624
2013,33100,岡山県 岡山市,947885454
2014,33100,岡山県 岡山市,997079990
2015,33100,岡山県 岡山市,995423106
2016,33100,岡山県 岡山市,1026529639
2017,33100,岡山県 岡山市,1034645461
2018,33100,岡山県 岡山市,1063618985
2019,33100,岡山県 岡山市,1082192969
2020,33100,岡山県 岡山市,1092248088
2021,33100,岡山県 岡山市,1125727802
2022,33100,岡山県 岡山市,1158870098
1985,33201,（旧）岡山県 岡山市,530042263
1986,33201,（旧）岡山県 岡山市,557270875
1987,33201,（旧）岡山県 岡山市,584658876
1988,33201,（旧）岡山県 岡山市,618410057
1989,33201,（旧）岡山県 岡山市,663240028
1990,33201,（旧）岡山県 岡山市,727181786
1991,33201,（旧）岡山県 岡山市,813674101
1992,33201,（旧）岡山県 岡山市,876169468
1993,33201,（旧）岡山県 岡山市,865923786
1994,33201,（旧）岡山県 岡山市,905661459
1995,33201,（旧）岡山県 岡山市,940406155
1996,33201,（旧）岡山県 岡山市,945791019
1997,33201,（旧）岡山県 岡山市,979348972
1998,33201,（旧）岡山県 岡山市,973297650
1999,33201,（旧）岡山県 岡山市,956308962
2000,33201,（旧）岡山県 岡山市,928933261
2001,33201,（旧）岡山県 岡山市,919999070
2002,33201,（旧）岡山県 岡山市,903991230
2003,33201,（旧）岡山県 岡山市,873862761
2004,33201,（旧）岡山県 岡山市,870122726
2005,33201,（旧）岡山県 岡山市,916077388
2006,33201,（旧）岡山県 岡山市,959841772
2007,33201,（旧）岡山県 岡山市,992716179
2008,33201,（旧）岡山県 岡山市,1006664846
1985,33202,岡山県 倉敷市,370058537
1986,33202,岡山県 倉敷市,389635357
1987,33202,岡山県 倉敷市,404597572
1988,33202,岡山県 倉敷市,415511885
1989,33202,岡山県 倉敷市,439030845
1990,33202,岡山県 倉敷市,473081495
1991,33202,岡山県 倉敷市,522914889
1992,33202,岡山県 倉敷市,573412772
1993,33202,岡山県 倉敷市,580729316
1994,33202,岡山県 倉敷市,599042074
1995,33202,岡山県 倉敷市,610107450
1996,33202,岡山県 倉敷市,618926665
1997,33202,岡山県 倉敷市,632762247
1998,33202,岡山県 倉敷市,635029270
1999,33202,岡山県 倉敷市,615194647
2000,33202,岡山県 倉敷市,592939465
2001,33202,岡山県 倉敷市,579976378
2002,33202,岡山県 倉敷市,567187984
2003,33202,岡山県 倉敷市,551575701
2004,33202,岡山県 倉敷市,553859880
2005,33202,岡山県 倉敷市,564133130
2006,33202,岡山県 倉敷市,637410571
2007,33202,岡山県 倉敷市,650475505
2008,33202,岡山県 倉敷市,655474846
2009,33202,岡山県 倉敷市,650880141
2010,33202,岡山県 倉敷市,601539503
2011,33202,岡山県 倉敷市,598900997
2012,33202,岡山県 倉敷市,605475322
2013,33202,岡山県 倉敷市,604648376
2014,33202,岡山県 倉敷市,614665766
2015,33202,岡山県 倉敷市,629599075
2016,33202,岡山県 倉敷市,638894988
2017,33202,岡山県 倉敷市,652930993
2018,33202,岡山県 倉敷市,665114469
2019,33202,岡山県 倉敷市,669623205
2020,33202,岡山県 倉敷市,684494012
2021,33202,岡山県 倉敷市,699368659
2022,33202,岡山県 倉敷市,713645295
1985,33204,岡山県 玉野市,66024624
1986,33204,岡山県 玉野市,68772097
1987,33204,岡山県 玉野市,66973976
1988,33204,岡山県 玉野市,66698245
1989,33204,岡山県 玉野市,69203411
1990,33204,岡山県 玉野市,73312547
1991,33204,岡山県 玉野市,82727293
1992,33204,岡山県 玉野市,89595947
1993,33204,岡山県 玉野市,91985676
1994,33204,岡山県 玉野市,94437003
1995,33204,岡山県 玉野市,96729118
1996,33204,岡山県 玉野市,95982479
1997,33204,岡山県 玉野市,98059003
1998,33204,岡山県 玉野市,99131193
1999,33204,岡山県 玉野市,95096833
2000,33204,岡山県 玉野市,88098460
2001,33204,岡山県 玉野市,85843650
2002,33204,岡山県 玉野市,86043366
2003,33204,岡山県 玉野市,82507109
2004,33204,岡山県 玉野市,80980230
2005,33204,岡山県 玉野市,80508171
2006,33204,岡山県 玉野市,84916117
2007,33204,岡山県 玉野市,84730075
2008,33204,岡山県 玉野市,84396350
2009,33204,岡山県 玉野市,84002477
2010,33204,岡山県 玉野市,79206850
2011,33204,岡山県 玉野市,76910003
2012,33204,岡山県 玉野市,75224474
2013,33204,岡山県 玉野市,74040214
2014,33204,岡山県 玉野市,72259853
2015,33204,岡山県 玉野市,70971725
2016,33204,岡山県 玉野市,71204510
2017,33204,岡山県 玉野市,71697635
2018,33204,岡山県 玉野市,72643882
2019,33204,岡山県 玉野市,71541945
2020,33204,岡山県 玉野市,71893710
2021,33204,岡山県 玉野市,73455164
2022,33204,岡山県 玉野市,72196226
1985,33205,岡山県 笠岡市,44958410
1986,33205,岡山県 笠岡市,48045378
1987,33205,岡山県 笠岡市,48392390
1988,33205,岡山県 笠岡市,49001514
1989,33205,岡山県 笠岡市,51172235
1990,33205,岡山県 笠岡市,53456087
1991,33205,岡山県 笠岡市,59931612
1992,33205,岡山県 笠岡市,65422246
1993,33205,岡山県 笠岡市,66105020
1994,33205,岡山県 笠岡市,68139677
1995,33205,岡山県 笠岡市,69186807
1996,33205,岡山県 笠岡市,70523758
1997,33205,岡山県 笠岡市,71931266
1998,33205,岡山県 笠岡市,72362417
1999,33205,岡山県 笠岡市,70101942
2000,33205,岡山県 笠岡市,67636586
2001,33205,岡山県 笠岡市,66204115
2002,33205,岡山県 笠岡市,64324691
2003,33205,岡山県 笠岡市,61658298
2004,33205,岡山県 笠岡市,60741120
2005,33205,岡山県 笠岡市,61475372
