mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,time_since_treatment,bridge_year
0.008,0.057,-0.117,0.126,0.001,0.001,3358.0,2522.0,1.01,-29,1999
0.127,0.071,-0.04,0.235,0.002,0.002,903.0,2125.0,1.01,-24,2015
-0.013,0.057,-0.138,0.098,0.001,0.001,2761.0,3077.0,1.01,-19,0
-0.044,0.057,-0.165,0.075,0.001,0.001,4329.0,3110.0,1.01,-14,2004
-0.056,0.058,-0.174,0.07,0.001,0.001,2954.0,2253.0,1.01,-9,1988
-0.07,0.08,-0.195,0.112,0.003,0.002,651.0,1272.0,1.01,-4,1989
0.042,0.05,-0.063,0.146,0.001,0.001,3984.0,3480.0,1.01,1,1951
0.082,0.053,-0.033,0.182,0.001,0.001,1702.0,1392.0,1.01,6,1968
0.104,0.06,-0.036,0.202,0.002,0.002,812.0,1334.0,1.01,11,1983
0.042,0.059,-0.092,0.143,0.002,0.001,1262.0,1962.0,1.01,16,1991
-0.236,0.166,-0.455,0.078,0.011,0.009,205.0,1786.0,1.03,21,1987
-0.028,0.126,-0.28,0.204,0.003,0.002,2486.0,3768.0,1.0,-45,1992
-0.029,0.128,-0.278,0.223,0.003,0.002,2202.0,1277.0,1.0,-40,2008
-0.032,0.123,-0.263,0.214,0.002,0.002,2647.0,1403.0,1.01,-35,1979
-0.031,0.126,-0.274,0.211,0.003,0.002,2103.0,2926.0,1.0,-30,2000
-0.034,0.124,-0.276,0.202,0.003,0.002,2186.0,2268.0,1.0,-25,1961
-0.029,0.122,-0.265,0.213,0.002,0.002,3795.0,4026.0,1.0,-20,1975
-0.033,0.122,-0.272,0.208,0.002,0.002,5024.0,4757.0,1.0,-15,1997
-0.028,0.127,-0.266,0.236,0.003,0.003,1548.0,602.0,1.0,-13,1889
-0.029,0.126,-0.277,0.208,0.002,0.002,2648.0,3724.0,1.0,-12,1973
-0.029,0.123,-0.269,0.211,0.002,0.002,3290.0,3183.0,1.0,-11,1972
-0.031,0.125,-0.281,0.214,0.002,0.002,3668.0,4479.0,1.0,-10,1976
-0.034,0.124,-0.276,0.213,0.002,0.003,3451.0,1907.0,1.0,-8,1970
-0.03,0.124,-0.283,0.208,0.002,0.002,5809.0,3582.0,1.0,-7,1935
-0.028,0.127,-0.278,0.217,0.003,0.003,1426.0,604.0,1.0,-6,1950
-0.031,0.126,-0.286,0.205,0.002,0.002,3237.0,2938.0,1.0,-5,1952
-0.032,0.124,-0.287,0.198,0.003,0.002,2310.0,2076.0,1.0,-3,1965
-0.03,0.129,-0.288,0.216,0.002,0.002,3722.0,2545.0,1.0,-2,2018
-0.029,0.124,-0.278,0.207,0.002,0.002,3571.0,1991.0,1.0,-1,1971
-0.031,0.128,-0.275,0.216,0.003,0.002,2121.0,1075.0,1.0,0,1996
0.035,0.06,-0.108,0.147,0.002,0.002,961.0,499.0,1.02,2,2011
0.052,0.063,-0.093,0.164,0.002,0.001,1390.0,2158.0,1.01,3,1995
0.053,0.062,-0.097,0.16,0.001,0.001,2304.0,2022.0,1.01,4,1967
0.071,0.066,-0.07,0.199,0.002,0.001,1420.0,2612.0,1.0,5,2016
-0.029,0.124,-0.279,0.206,0.002,0.002,3362.0,3960.0,1.0,-34,1982
0.044,0.06,-0.088,0.16,0.001,0.001,3745.0,2176.0,1.01,7,1957
0.023,0.059,-0.103,0.145,0.001,0.001,1582.0,1247.0,1.01,8,1999
0.048,0.063,-0.09,0.168,0.002,0.001,1139.0,1142.0,1.01,9,2015
0.047,0.06,-0.089,0.157,0.002,0.001,1614.0,2391.0,1.01,10,0
0.098,0.067,-0.051,0.215,0.002,0.002,1096.0,2409.0,1.01,12,2004
0.069,0.063,-0.066,0.189,0.002,0.001,1372.0,2406.0,1.01,13,1988
0.072,0.063,-0.081,0.177,0.002,0.001,1395.0,1905.0,1.01,14,1989
0.044,0.061,-0.093,0.157,0.002,0.001,1217.0,1223.0,1.01,15,1951
-0.032,0.125,-0.288,0.201,0.003,0.002,2040.0,1529.0,1.0,-18,1968
-0.0,0.057,-0.126,0.114,0.001,0.001,4721.0,2113.0,1.01,17,1983
-0.03,0.124,-0.272,0.22,0.002,0.002,3848.0,3395.0,1.0,22,1991
